,Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
Celtics,Dalano Banton,45,PG,6-8,203,November 7 1999,ca CA,2,Nebraska,bantoda01
Celtics,Oshae Brissett,12,SF,6-7,210,June 20 1998,ca CA,4,Syracuse,brissos01
Celtics,Jaylen Brown,7,SF,6-6,223,October 24 1996,us US,7,California,brownja02
Celtics,JD Davison,20,SG,6-1,195,October 3 2002,us US,1,Alabama,davisjd01
Celtics,Sam Hauser,30,SF,6-7,217,December 8 1997,us US,2,Marquette Virginia,hausesa01
Celtics,Jrue Holiday,4,PG,6-4,220,June 12 1990,us US,14,UCLA,holidjr01
Celtics,Al Horford,42,C,6-8,240,June 3 1986,do DO,16,Florida,horfoal01
Celtics,Luke Kornet,40,C,7-1,250,July 15 1995,us US,6,Vanderbilt,kornelu01
Celtics,Svi Mykhailiuk,50,SF,6-7,205,June 10 1997,ua UA,5,Kansas,mykhasv01
Celtics,Drew Peterson,13,PF,6-8,205,November 9 1999,us US,R,Rice University USC,peterdr01
Celtics,Kristaps Porziņģis,8,C,7-2,240,August 2 1995,lv LV,7,,porzikr01
Celtics,Payton Pritchard,11,PG,6-1,195,January 28 1998,us US,3,Oregon,pritcpa01
Celtics,Neemias Queta,88,C,7-0,248,July 13 1999,pt PT,2,Utah State University,quetane01
Celtics,Jaden Springer,44,SG,6-4,202,September 25 2002,us US,2,Tennessee,sprinja01
Celtics,Lamar Stevens,77,PF,6-7,230,July 9 1997,us US,3,Penn State,stevela01
Celtics,Jayson Tatum,0,PF,6-8,210,March 3 1998,us US,6,Duke,tatumja01
Celtics,Xavier Tillman Sr.,26,PF,6-8,245,January 12 1999,us US,3,Michigan State,tillmxa01
Celtics,Jordan Walsh,27,SF,6-6,205,March 3 2004,us US,R,Arkansas,walshjo01
Celtics,Derrick White,9,SG,6-4,190,July 2 1994,us US,6,Colorado-Colorado Springs Colorado,whitede01
Pacers,Bruce Brown,11,SG,6-4,202,August 15 1996,us US,5,Miami (FL),brownbr01
Pacers,Kendall Brown,10,SG,6-6,205,May 11 2003,us US,1,Baylor,brownke03
Pacers,Tyrese Haliburton,0,PG,6-5,185,February 29 2000,us US,3,Iowa State,halibty01
Pacers,Buddy Hield,7,SF,6-4,220,December 17 1992,bs BS,7,Oklahoma,hieldbu01
Pacers,Isaiah Jackson,22,C,6-8,205,January 10 2002,us US,2,Kentucky,jacksis01
Pacers,Quenton Jackson,29,PG,6-4,173,September 15 1998,us US,1,Texas A&M,jacksqu01
Pacers,James Johnson,16,PF,6-7,240,February 20 1987,us US,14,Wake Forest,johnsja01
Pacers,Bennedict Mathurin,0,SF,6-5,210,June 19 2002,ca CA,1,Arizona,mathube01
Pacers,T.J. McConnell,9,PG,6-1,190,March 25 1992,us US,8,Duquesne Arizona,mccontj01
Pacers,Doug McDermott,20,SF,6-7,225,January 3 1992,us US,9,Creighton,mcderdo01
Pacers,Andrew Nembhard,2,PG,6-4,191,January 16 2000,ca CA,1,Florida Gonzaga,nembhan01
Pacers,Aaron Nesmith,23,SF,6-5,215,October 16 1999,us US,3,Vanderbilt,nesmiaa01
Pacers,Jordan Nwora,13,SF,6-8,225,September 9 1998,us US,3,Louisville,nworajo01
Pacers,Ben Sheppard,26,SG,6-6,190,July 16 2001,us US,R,Belmont,sheppbe01
Pacers,Pascal Siakam,43,PF,6-8,245,April 2 1994,cm CM,7,New Mexico State,siakapa01
Pacers,Jalen Smith,25,C,6-8,215,March 16 2000,us US,3,Maryland,smithja04
Pacers,Daniel Theis,27,C,6-8,245,April 4 1992,de DE,6,,theisda01
Pacers,Obi Toppin,1,PF,6-9,220,March 4 1998,us US,3,Dayton,toppiob01
Pacers,Oscar Tshiebwe,44,PF,6-8,255,November 27 1999,cd CD,R,West Virginia Kentucky,tshieos01
Pacers,Myles Turner,33,C,6-11,250,March 24 1996,us US,8,Texas,turnemy01
Pacers,Jarace Walker,5,PF,6-7,235,September 4 2003,us US,R,Houston,walkeja02
Pacers,Isaiah Wong,21,SG,6-3,185,January 28 2001,us US,R,Miami (FL),wongis01
Mavericks,Greg Brown III,13,PF,6-7,206,September 1 2001,us US,2,Texas,browngr01
Mavericks,Seth Curry,30,SG,6-1,185,August 23 1990,us US,9,Liberty Duke,curryse01
Mavericks,Dexter Dennis,17,SG,6-5,210,February 9 1999,us US,R,Wichita State Texas A&M,dennide01
Mavericks,Luka Dončić,77,PG,6-8,230,February 28 1999,si SI,5,,doncilu01
Mavericks,Dante Exum,0,PG,6-5,214,July 13 1995,au AU,6,,exumda01
Mavericks,Alex Fudge,3,SF,6-8,200,May 6 2003,us US,R,LSU Florida,fudgeal01
Mavericks,Daniel Gafford,21,PF,6-10,265,October 1 1998,us US,4,Arkansas,gaffoda01
Mavericks,Josh Green,8,SG,6-6,200,November 16 2000,au AU,3,Arizona,greenjo02
Mavericks,Tim Hardaway Jr.,10,SF,6-5,205,March 16 1992,us US,10,Michigan,hardati02
Mavericks,Jaden Hardy,1,SG,6-3,198,July 5 2002,us US,1,,hardyja02
Mavericks,Richaun Holmes,20,C,6-9,235,October 15 1993,us US,8,Bowling Green,holmeri01
Mavericks,Kyrie Irving,11,SG,6-9,195,March 23 1992,au AU,12,Duke,irvinky01
Mavericks,Derrick Jones Jr.,55,SF,6-2,210,February 15 1997,us US,7,UNLV,jonesde02
Mavericks,Maxi Kleber,42,C,6-6,240,January 29 1992,de DE,6,,klebima01
Mavericks,A.J. Lawson,9,SG,6-6,179,July 15 2000,ca CA,1,South Carolina,lawsoaj01
Mavericks,Dereck Lively II,2,C,7-1,230,February 12 2004,us US,R,Duke,livelde01
Mavericks,Markieff Morris,88,PF,6-9,245,September 2 1989,us US,12,Kansas,morrima02
Mavericks,Dwight Powell,7,C,6-10,240,July 20 1991,ca CA,9,Stanford,poweldw01
Mavericks,Olivier-Maxence Prosper,18,PF,6-7,230,July 3 2002,ca CA,R,Clemson Marquette,prospol01
Mavericks,P.J. Washington,25,PF,6-7,230,August 23 1998,us US,4,Kentucky,washipj01
Mavericks,Brandon Williams,0,PG,6-1,190,November 22 1999,us US,1,Arizona,willibr03
Mavericks,Grant Williams,3,PF,6-7,236,November 30 1998,us US,4,Tennessee,willigr01
Timberwolves,Nickeil Alexander-Walker,9,SG,6-5,205,September 2 1998,ca CA,4,Virginia Tech,alexani01
Timberwolves,Kyle Anderson,1,PF,6-8,230,September 20 1993,us US,9,UCLA,anderky01
Timberwolves,Troy Brown Jr.,23,SF,6-7,215,July 28 1999,us US,5,Oregon,browntr01
Timberwolves,Mike Conley,10,PG,6-1,175,October 11 1987,us US,16,Ohio State,conlemi01
Timberwolves,Anthony Edwards,5,SG,6-4,225,August 5 2001,us US,3,Georgia,edwaran01
Timberwolves,Luka Garza,55,C,6-10,243,December 27 1998,us US,2,Iowa,garzalu01
Timberwolves,Rudy Gobert,27,C,7-1,258,June 26 1992,fr FR,10,,goberru01
Timberwolves,Justin Jackson,44,SF,6-8,220,March 28 1995,us US,6,UNC,jacksju01
Timberwolves,Jaden McDaniels,3,SF,6-9,185,September 29 2000,us US,3,Washington,mcdanja02
Timberwolves,Jordan McLaughlin,6,PG,5-11,185,April 9 1996,us US,4,USC,mclaujo01
Timberwolves,Leonard Miller,33,SF,6-10,220,November 26 2003,ca CA,R,,millele01
Timberwolves,Shake Milton,18,SG,6-5,205,September 26 1996,us US,5,SMU,miltosh01
Timberwolves,Josh Minott,8,SF,6-8,205,November 25 2002,us US,1,Memphis,minotjo01
Timberwolves,Wendell Moore Jr.,7,SG,6-5,215,September 18 2001,us US,1,Duke,moorewe01
Timberwolves,Monte Morris,23,PG,6-2,183,June 27 1995,us US,6,Iowa State,morrimo01
Timberwolves,Daishen Nix,12,PG,6-3,226,February 13 2002,us US,2,,nixda01
Timberwolves,Naz Reid,11,PF,6-9,264,August 26 1999,us US,4,LSU,reidna01
Timberwolves,Karl-Anthony Towns,32,PF,7-0,248,November 15 1995,us US,8,Kentucky,townska01
